month,year,kraj,monthly_min_wage
august,2010,JHM,8000
august,2010,PLK,8000
august,2010,OLK,8000
august,2010,KVK,8000
august,2010,ZLK,8000
august,2010,ULK,8000
august,2010,MSK,8000
august,2010,LBK,8000
september,2010,PHA,8000
september,2010,HKK,8000
september,2010,STC,8000
september,2010,PAK,8000
september,2010,VYS,8000
september,2010,JHC,8000
september,2010,JHM,8000
september,2010,PLK,8000
september,2010,OLK,8000
september,2010,KVK,8000
september,2010,ZLK,8000
september,2010,ULK,8000
september,2010,MSK,8000
september,2010,LBK,8000
october,2010,PHA,8000
october,2010,HKK,8000
october,2010,STC,8000
october,2010,PAK,8000
october,2010,VYS,8000
october,2010,JHC,8000
october,2010,JHM,8000
october,2010,PLK,8000
october,2010,OLK,8000
october,2010,KVK,8000
october,2010,ZLK,8000
october,2010,ULK,8000
october,2010,MSK,8000
october,2010,LBK,8000
november,2010,PHA,8000
november,2010,HKK,8000
november,2010,STC,8000
november,2010,PAK,8000
november,2010,VYS,8000
november,2010,JHC,8000
november,2010,JHM,8000
november,2010,PLK,8000
november,2010,OLK,8000
november,2010,KVK,8000
november,2010,ZLK,8000
november,2010,ULK,8000
november,2010,MSK,8000
november,2010,LBK,8000
december,2010,PHA,8000
december,2010,HKK,8000
december,2010,STC,8000
december,2010,PAK,8000
december,2010,VYS,8000
december,2010,JHC,8000
december,2010,JHM,8000
december,2010,PLK,8000
december,2010,OLK,8000
december,2010,KVK,8000
december,2010,ZLK,8000
december,2010,ULK,8000
december,2010,MSK,8000
december,2010,LBK,8000
january,2011,PHA,8000
january,2011,HKK,8000
january,2011,STC,8000
january,2011,PAK,8000
january,2011,VYS,8000
january,2011,JHC,8000
january,2011,JHM,8000
january,2011,PLK,8000
january,2011,OLK,8000
january,2011,KVK,8000
january,2011,ZLK,8000
january,2011,ULK,8000
january,2011,MSK,8000
january,2011,LBK,8000
february,2011,PHA,8000
february,2011,HKK,8000
february,2011,STC,8000
february,2011,PAK,8000
february,2011,VYS,8000
february,2011,JHC,8000
february,2011,JHM,8000
february,2011,PLK,8000
february,2011,OLK,8000
february,2011,KVK,8000
february,2011,ZLK,8000
february,2011,ULK,8000
february,2011,MSK,8000
february,2011,LBK,8000
march,2011,PHA,8000
march,2011,HKK,8000
march,2011,STC,8000
march,2011,PAK,8000
march,2011,VYS,8000
march,2011,JHC,8000
march,2011,JHM,8000
march,2011,PLK,8000
march,2011,OLK,8000
march,2011,KVK,8000
march,2011,ZLK,8000
march,2011,ULK,8000
march,2011,MSK,8000
march,2011,LBK,8000
april,2011,PHA,8000
april,2011,HKK,8000
april,2011,STC,8000
april,2011,PAK,8000
april,2011,VYS,8000
april,2011,JHC,8000
april,2011,JHM,8000
april,2011,PLK,8000
april,2011,OLK,8000
april,2011,KVK,8000
april,2011,ZLK,8000
april,2011,ULK,8000
april,2011,MSK,8000
april,2011,LBK,8000
may,2011,PHA,8000
may,2011,HKK,8000
may,2011,STC,8000
may,2011,PAK,8000
may,2011,VYS,8000
may,2011,JHC,8000
may,2011,JHM,8000
may,2011,PLK,8000
may,2011,OLK,8000
may,2011,KVK,8000
may,2011,ZLK,8000
may,2011,ULK,8000
may,2011,MSK,8000
may,2011,LBK,8000
june,2011,PHA,8000
june,2011,HKK,8000
june,2011,STC,8000
june,2011,PAK,8000
june,2011,VYS,8000
june,2011,JHC,8000
june,2011,JHM,8000
june,2011,PLK,8000
june,2011,OLK,8000
june,2011,KVK,8000
june,2011,ZLK,8000
june,2011,ULK,8000
june,2011,MSK,8000
june,2011,LBK,8000
july,2011,PHA,8000
july,2011,HKK,8000
july,2011,STC,8000
july,2011,PAK,8000
july,2011,VYS,8000
july,2011,JHC,8000
july,2011,JHM,8000
july,2011,PLK,8000
july,2011,OLK,8000
july,2011,KVK,8000
july,2011,ZLK,8000
july,2011,ULK,8000
july,2011,MSK,8000
july,2011,LBK,8000
august,2011,PHA,8000
august,2011,HKK,8000
august,2011,STC,8000
august,2011,PAK,8000
august,2011,VYS,8000
august,2011,JHC,8000
august,2011,JHM,8000
august,2011,PLK,8000
august,2011,OLK,8000
august,2011,KVK,8000
august,2011,ZLK,8000
august,2011,ULK,8000
august,2011,MSK,8000
august,2011,LBK,8000
september,2011,PHA,8000
september,2011,HKK,8000
september,2011,STC,8000
september,2011,PAK,8000
september,2011,VYS,8000
september,2011,JHC,8000
september,2011,JHM,8000
september,2011,PLK,8000
september,2011,OLK,8000
september,2011,KVK,8000
september,2011,ZLK,8000
september,2011,ULK,8000
september,2011,MSK,8000
september,2011,LBK,8000
october,2011,PHA,8000
october,2011,HKK,8000
october,2011,STC,8000
october,2011,PAK,8000
october,2011,VYS,8000
october,2011,JHC,8000
october,2011,JHM,8000
october,2011,PLK,8000
october,2011,OLK,8000
october,2011,KVK,8000
october,2011,ZLK,8000
october,2011,ULK,8000
october,2011,MSK,8000
october,2011,LBK,8000
november,2011,PHA,8000
november,2011,HKK,8000
november,2011,STC,8000
november,2011,PAK,8000
november,2011,VYS,8000
november,2011,JHC,8000
november,2011,JHM,8000
november,2011,PLK,8000
november,2011,OLK,8000
november,2011,KVK,8000
november,2011,ZLK,8000
november,2011,ULK,8000
november,2011,MSK,8000
november,2011,LBK,8000
december,2011,PHA,8000
december,2011,HKK,8000
december,2011,STC,8000
december,2011,PAK,8000
december,2011,VYS,8000
december,2011,JHC,8000
december,2011,JHM,8000
december,2011,PLK,8000
december,2011,OLK,8000
december,2011,KVK,8000
december,2011,ZLK,8000
december,2011,ULK,8000
december,2011,MSK,8000
december,2011,LBK,8000
january,2012,PHA,8000
january,2012,HKK,8000
january,2012,STC,8000
january,2012,PAK,8000
january,2012,VYS,8000
january,2012,JHC,8000
january,2012,JHM,8000
january,2012,PLK,8000
january,2012,OLK,8000
january,2012,KVK,8000
january,2012,ZLK,8000
january,2012,ULK,8000
january,2012,MSK,8000
january,2012,LBK,8000
february,2012,PHA,8000
february,2012,HKK,8000
february,2012,STC,8000
february,2012,PAK,8000
february,2012,VYS,8000
february,2012,JHC,8000
february,2012,JHM,8000
february,2012,PLK,8000
february,2012,OLK,8000
february,2012,KVK,8000
february,2012,ZLK,8000
february,2012,ULK,8000
february,2012,MSK,8000
february,2012,LBK,8000
march,2012,PHA,8000
march,2012,HKK,8000
march,2012,STC,8000
march,2012,PAK,8000
march,2012,VYS,8000
march,2012,JHC,8000
march,2012,JHM,8000
march,2012,PLK,8000
march,2012,OLK,8000
march,2012,KVK,8000
march,2012,ZLK,8000
march,2012,ULK,8000
march,2012,MSK,8000
march,2012,LBK,8000
april,2012,PHA,8000
april,2012,HKK,8000
april,2012,STC,8000
april,2012,PAK,8000
april,2012,VYS,8000
april,2012,JHC,8000
april,2012,JHM,8000
april,2012,PLK,8000
april,2012,OLK,8000
april,2012,KVK,8000
april,2012,ZLK,8000
april,2012,ULK,8000
april,2012,MSK,8000
april,2012,LBK,8000
may,2012,PHA,8000
may,2012,HKK,8000
may,2012,STC,8000
may,2012,PAK,8000
may,2012,VYS,8000
may,2012,JHC,8000
may,2012,JHM,8000
may,2012,PLK,8000
may,2012,OLK,8000
may,2012,KVK,8000
may,2012,ZLK,8000
may,2012,ULK,8000
may,2012,MSK,8000
may,2012,LBK,8000
june,2012,PHA,8000
june,2012,HKK,8000
june,2012,STC,8000
june,2012,PAK,8000
june,2012,VYS,8000
june,2012,JHC,8000
june,2012,JHM,8000
june,2012,PLK,8000
june,2012,OLK,8000
june,2012,KVK,8000
june,2012,ZLK,8000
june,2012,ULK,8000
june,2012,MSK,8000
june,2012,LBK,8000
july,2012,PHA,8000
july,2012,HKK,8000
july,2012,STC,8000
july,2012,PAK,8000
july,2012,VYS,8000
july,2012,JHC,8000
july,2012,JHM,8000
july,2012,PLK,8000
july,2012,OLK,8000
july,2012,KVK,8000
july,2012,ZLK,8000
july,2012,ULK,8000
july,2012,MSK,8000
july,2012,LBK,8000
august,2012,PHA,8000
august,2012,HKK,8000
august,2012,STC,8000
august,2012,PAK,8000
august,2012,VYS,8000
august,2012,JHC,8000
august,2012,JHM,8000
august,2012,PLK,8000
august,2012,OLK,8000
august,2012,KVK,8000
august,2012,ZLK,8000
august,2012,ULK,8000
august,2012,MSK,8000
august,2012,LBK,8000
september,2012,PHA,8000
september,2012,HKK,8000
september,2012,STC,8000
september,2012,PAK,8000
september,2012,VYS,8000
september,2012,JHC,8000
september,2012,JHM,8000
september,2012,PLK,8000
september,2012,OLK,8000
september,2012,KVK,8000
september,2012,ZLK,8000
september,2012,ULK,8000
september,2012,MSK,8000
september,2012,LBK,8000
october,2012,PHA,8000
october,2012,HKK,8000
october,2012,STC,8000
october,2012,PAK,8000
october,2012,VYS,8000
october,2012,JHC,8000
october,2012,JHM,8000
october,2012,PLK,8000
october,2012,OLK,8000
october,2012,KVK,8000
october,2012,ZLK,8000
october,2012,ULK,8000
october,2012,MSK,8000
october,2012,LBK,8000
november,2012,PHA,8000
november,2012,HKK,8000
november,2012,STC,8000
november,2012,PAK,8000
november,2012,VYS,8000
november,2012,JHC,8000
november,2012,JHM,8000
november,2012,PLK,8000
november,2012,OLK,8000
november,2012,KVK,8000
november,2012,ZLK,8000
november,2012,ULK,8000
november,2012,MSK,8000
november,2012,LBK,8000
december,2012,PHA,8000
december,2012,HKK,8000
december,2012,STC,8000
december,2012,PAK,8000
december,2012,VYS,8000
december,2012,JHC,8000
december,2012,JHM,8000
december,2012,PLK,8000
december,2012,OLK,8000
december,2012,KVK,8000
december,2012,ZLK,8000
december,2012,ULK,8000
december,2012,MSK,8000
december,2012,LBK,8000
january,2013,PHA,8000
january,2013,HKK,8000
january,2013,STC,8000
january,2013,PAK,8000
january,2013,VYS,8000
january,2013,JHC,8000
january,2013,JHM,8000
january,2013,PLK,8000
january,2013,OLK,8000
january,2013,KVK,8000
january,2013,ZLK,8000
january,2013,ULK,8000
january,2013,MSK,8000
january,2013,LBK,8000
february,2013,PHA,8000
february,2013,HKK,8000
february,2013,STC,8000
february,2013,PAK,8000
february,2013,VYS,8000
february,2013,JHC,8000
february,2013,JHM,8000
february,2013,PLK,8000
february,2013,OLK,8000
february,2013,KVK,8000
february,2013,ZLK,8000
february,2013,ULK,8000
february,2013,MSK,8000
february,2013,LBK,8000
march,2013,PHA,8000
march,2013,HKK,8000
march,2013,STC,8000
march,2013,PAK,8000
march,2013,VYS,8000
march,2013,JHC,8000
march,2013,JHM,8000
march,2013,PLK,8000
march,2013,OLK,8000
march,2013,KVK,8000
march,2013,ZLK,8000
march,2013,ULK,8000
march,2013,MSK,8000
march,2013,LBK,8000
april,2013,PHA,8000
april,2013,HKK,8000
april,2013,STC,8000
april,2013,PAK,8000
april,2013,VYS,8000
april,2013,JHC,8000
april,2013,JHM,8000
april,2013,PLK,8000
april,2013,OLK,8000
april,2013,KVK,8000
april,2013,ZLK,8000
april,2013,ULK,8000
april,2013,MSK,8000
april,2013,LBK,8000
may,2013,PHA,8000
may,2013,HKK,8000
may,2013,STC,8000
may,2013,PAK,8000
may,2013,VYS,8000
may,2013,JHC,8000
may,2013,JHM,8000
may,2013,PLK,8000
may,2013,OLK,8000
may,2013,KVK,8000
may,2013,ZLK,8000
may,2013,ULK,8000
may,2013,MSK,8000
may,2013,LBK,8000
june,2013,PHA,8000
june,2013,HKK,8000
june,2013,STC,8000
june,2013,PAK,8000
june,2013,VYS,8000
june,2013,JHC,8000
june,2013,JHM,8000
june,2013,PLK,8000
june,2013,OLK,8000
june,2013,KVK,8000
june,2013,ZLK,8000
june,2013,ULK,8000
june,2013,MSK,8000
june,2013,LBK,8000
july,2013,PHA,8000
july,2013,HKK,8000
july,2013,STC,8000
july,2013,PAK,8000
july,2013,VYS,8000
july,2013,JHC,8000
july,2013,JHM,8000
july,2013,PLK,8000
july,2013,OLK,8000
july,2013,KVK,8000
july,2013,ZLK,8000
july,2013,ULK,8000
july,2013,MSK,8000
july,2013,LBK,8000
august,2013,PHA,8500
august,2013,HKK,8500
