month,year,kraj,celkem,m_do_65,z_do_65,monthly_min_wage,monthly_inflation_rate_wrt_last_year,reer
february,2023,ULK,258,103,54,17300,16.7,116.3
march,2023,PHA,1833,924,620,17300,15.0,116.3
march,2023,JHM,555,266,258,17300,15.0,116.3
march,2023,JHC,490,200,192,17300,15.0,116.3
march,2023,KVK,176,67,31,17300,15.0,116.3
march,2023,VYS,392,168,168,17300,15.0,116.3
march,2023,HKK,200,103,73,17300,15.0,116.3
march,2023,LBK,266,116,144,17300,15.0,116.3
march,2023,MSK,236,154,105,17300,15.0,116.3
march,2023,OLK,198,76,87,17300,15.0,116.3
march,2023,PAK,174,85,50,17300,15.0,116.3
march,2023,PLK,235,187,88,17300,15.0,116.3
march,2023,STC,620,378,267,17300,15.0,116.3
march,2023,ZLK,229,92,103,17300,15.0,116.3
march,2023,ULK,201,124,28,17300,15.0,116.3
april,2023,PHA,-26447,-3008,-12127,17300,12.7,117.36
april,2023,JHM,-12815,-1521,-5958,17300,12.7,117.36
april,2023,JHC,-5747,-652,-2675,17300,12.7,117.36
april,2023,KVK,-4647,-520,-2193,17300,12.7,117.36
april,2023,VYS,-4578,-701,-1880,17300,12.7,117.36
april,2023,HKK,-5724,-712,-2511,17300,12.7,117.36
april,2023,LBK,-4625,-507,-2127,17300,12.7,117.36
april,2023,MSK,-7900,-750,-3410,17300,12.7,117.36
april,2023,OLK,-3986,-445,-1811,17300,12.7,117.36
april,2023,PAK,-5427,-732,-2482,17300,12.7,117.36
april,2023,PLK,-9226,-1346,-4630,17300,12.7,117.36
april,2023,STC,-18602,-2032,-8043,17300,12.7,117.36
april,2023,ZLK,-3135,-463,-1388,17300,12.7,117.36
april,2023,ULK,-6685,-823,-2983,17300,12.7,117.36
may,2023,PHA,1971,820,861,17300,11.1,117.36
may,2023,JHM,929,297,484,17300,11.1,117.36
may,2023,JHC,289,121,135,17300,11.1,117.36
may,2023,KVK,157,34,74,17300,11.1,117.36
may,2023,VYS,440,143,219,17300,11.1,117.36
may,2023,HKK,360,133,173,17300,11.1,117.36
may,2023,LBK,234,95,101,17300,11.1,117.36
may,2023,MSK,415,148,200,17300,11.1,117.36
may,2023,OLK,303,104,153,17300,11.1,117.36
may,2023,PAK,257,75,126,17300,11.1,117.36
may,2023,PLK,470,191,202,17300,11.1,117.36
may,2023,STC,1027,330,474,17300,11.1,117.36
may,2023,ZLK,145,63,61,17300,11.1,117.36
may,2023,ULK,156,62,61,17300,11.1,117.36
june,2023,PHA,2397,833,1041,17300,9.7,117.36
june,2023,JHM,1066,229,622,17300,9.7,117.36
june,2023,JHC,239,46,120,17300,9.7,117.36
june,2023,KVK,208,35,122,17300,9.7,117.36
june,2023,VYS,444,108,218,17300,9.7,117.36
june,2023,HKK,267,47,113,17300,9.7,117.36
june,2023,LBK,235,26,125,17300,9.7,117.36
june,2023,MSK,317,97,117,17300,9.7,117.36
june,2023,OLK,299,85,156,17300,9.7,117.36
june,2023,PAK,440,108,205,17300,9.7,117.36
june,2023,PLK,714,200,395,17300,9.7,117.36
june,2023,STC,1211,323,660,17300,9.7,117.36
june,2023,ZLK,267,85,132,17300,9.7,117.36
june,2023,ULK,320,117,116,17300,9.7,117.36
july,2023,PHA,2840,971,1120,17300,8.8,115.41
july,2023,JHM,1161,275,660,17300,8.8,115.41
july,2023,JHC,437,98,199,17300,8.8,115.41
july,2023,KVK,303,54,154,17300,8.8,115.41
july,2023,VYS,433,137,169,17300,8.8,115.41
