kraj,month,year,bilance
LBK,11,2006,1.791
PAK,11,2006,1.791
MSK,11,2006,1.791
OLK,11,2006,1.791
ULK,11,2006,1.791
ZLK,11,2006,1.791
JHC,11,2006,1.791
PHA,12,2006,-7.874
STC,12,2006,-7.874
JHM,12,2006,-7.874
PLK,12,2006,-7.874
HKK,12,2006,-7.874
VYS,12,2006,-7.874
KVK,12,2006,-7.874
LBK,12,2006,-7.874
PAK,12,2006,-7.874
MSK,12,2006,-7.874
OLK,12,2006,-7.874
ULK,12,2006,-7.874
ZLK,12,2006,-7.874
JHC,12,2006,-7.874
PHA,1,2007,4.581
STC,1,2007,4.581
JHM,1,2007,4.581
PLK,1,2007,4.581
HKK,1,2007,4.581
VYS,1,2007,4.581
KVK,1,2007,4.581
LBK,1,2007,4.581
PAK,1,2007,4.581
MSK,1,2007,4.581
OLK,1,2007,4.581
ULK,1,2007,4.581
ZLK,1,2007,4.581
JHC,1,2007,4.581
PHA,2,2007,3.491
STC,2,2007,3.491
JHM,2,2007,3.491
PLK,2,2007,3.491
HKK,2,2007,3.491
VYS,2,2007,3.491
KVK,2,2007,3.491
LBK,2,2007,3.491
PAK,2,2007,3.491
MSK,2,2007,3.491
OLK,2,2007,3.491
ULK,2,2007,3.491
ZLK,2,2007,3.491
JHC,2,2007,3.491
PHA,3,2007,3.166
STC,3,2007,3.166
JHM,3,2007,3.166
PLK,3,2007,3.166
HKK,3,2007,3.166
VYS,3,2007,3.166
KVK,3,2007,3.166
LBK,3,2007,3.166
PAK,3,2007,3.166
MSK,3,2007,3.166
OLK,3,2007,3.166
ULK,3,2007,3.166
ZLK,3,2007,3.166
JHC,3,2007,3.166
PHA,4,2007,-2.097
STC,4,2007,-2.097
JHM,4,2007,-2.097
PLK,4,2007,-2.097
HKK,4,2007,-2.097
VYS,4,2007,-2.097
KVK,4,2007,-2.097
LBK,4,2007,-2.097
PAK,4,2007,-2.097
MSK,4,2007,-2.097
OLK,4,2007,-2.097
ULK,4,2007,-2.097
ZLK,4,2007,-2.097
JHC,4,2007,-2.097
PHA,5,2007,-762
STC,5,2007,-762
JHM,5,2007,-762
PLK,5,2007,-762
HKK,5,2007,-762
VYS,5,2007,-762
KVK,5,2007,-762
LBK,5,2007,-762
PAK,5,2007,-762
MSK,5,2007,-762
OLK,5,2007,-762
ULK,5,2007,-762
ZLK,5,2007,-762
JHC,5,2007,-762
PHA,6,2007,943
STC,6,2007,943
JHM,6,2007,943
PLK,6,2007,943
HKK,6,2007,943
VYS,6,2007,943
KVK,6,2007,943
LBK,6,2007,943
PAK,6,2007,943
MSK,6,2007,943
OLK,6,2007,943
ULK,6,2007,943
ZLK,6,2007,943
JHC,6,2007,943
PHA,7,2007,-6.255
STC,7,2007,-6.255
JHM,7,2007,-6.255
PLK,7,2007,-6.255
HKK,7,2007,-6.255
VYS,7,2007,-6.255
KVK,7,2007,-6.255
LBK,7,2007,-6.255
PAK,7,2007,-6.255
MSK,7,2007,-6.255
OLK,7,2007,-6.255
ULK,7,2007,-6.255
ZLK,7,2007,-6.255
JHC,7,2007,-6.255
PHA,8,2007,-8.885
STC,8,2007,-8.885
JHM,8,2007,-8.885
PLK,8,2007,-8.885
HKK,8,2007,-8.885
VYS,8,2007,-8.885
KVK,8,2007,-8.885
LBK,8,2007,-8.885
PAK,8,2007,-8.885
MSK,8,2007,-8.885
OLK,8,2007,-8.885
ULK,8,2007,-8.885
ZLK,8,2007,-8.885
JHC,8,2007,-8.885
PHA,9,2007,-565
STC,9,2007,-565
JHM,9,2007,-565
PLK,9,2007,-565
HKK,9,2007,-565
VYS,9,2007,-565
KVK,9,2007,-565
LBK,9,2007,-565
PAK,9,2007,-565
