;únor 2017;547.240;284.924;262.316;22.608;101,7;102,1;101,2
;březen 2017;646.599;337.017;309.582;27.435;115,0;115,6;114,4
;duben 2017;540.042;277.472;262.570;14.901;99,2;97,6;100,9
;květen 2017;611.502;313.841;297.661;16.179;112,7;112,2;113,3
;červen 2017;605.966;313.336;292.630;20.706;106,2;106,1;106,3
;červenec 2017;484.266;241.161;243.105;-1.944;106,7;106,3;107,1
;srpen 2017;547.509;276.212;271.297;4.916;105,7;105,2;106,3
;září 2017;574.323;296.516;277.807;18.709;103,0;102,7;103,2
;říjen 2017;623.015;316.054;306.960;9.094;112,3;111,0;113,7
;listopad 2017;622.707;316.986;305.722;11.264;104,2;104,6;103,8
;prosinec 2017;506.321;251.331;254.990;-3.659;100,7;101,6;99,7
;leden 2018;583.068;301.607;281.461;20.146;105,5;104,7;106,3
;únor 2018;549.813;284.066;265.747;18.320;100,5;99,7;101,3
;březen 2018;607.882;312.427;295.454;16.973;94,0;92,7;95,4
;duben 2018;570.453;292.969;277.483;15.486;105,6;105,6;105,7
;květen 2018;607.788;307.262;300.527;6.735;99,4;97,9;101,0
;červen 2018;620.732;316.987;303.745;13.241;102,4;101,2;103,8
;červenec 2018;542.494;267.133;275.361;-8.228;112,0;110,8;113,3
;srpen 2018;578.957;286.097;292.860;-6.764;105,7;103,6;107,9
;září 2018;590.556;300.638;289.918;10.720;102,8;101,4;104,4
;říjen 2018;694.721;347.038;347.683;-645;111,5;109,8;113,3
;listopad 2018;676.896;346.997;329.899;17.098;108,7;109,5;107,9
;prosinec 2018;510.654;253.020;257.634;-4.615;100,9;100,7;101,0
;leden 2019;592.070;304.524;287.546;16.978;101,5;101,0;102,2
;únor 2019;582.634;299.073;283.561;15.512;106,0;105,3;106,7
;březen 2019;639.970;327.862;312.108;15.755;105,3;104,9;105,6
;duben 2019;613.786;314.830;298.956;15.874;107,6;107,5;107,7
;květen 2019;637.198;330.678;306.520;24.158;104,8;107,6;102,0
;červen 2019;588.248;302.605;285.643;16.962;94,8;95,5;94,0
;červenec 2019;584.641;291.449;293.192;-1.743;107,8;109,1;106,5
;srpen 2019;543.906;276.570;267.337;9.233;93,9;96,7;91,3
;září 2019;634.116;327.079;307.037;20.042;107,4;108,8;105,9
;říjen 2019;672.351;340.659;331.692;8.967;96,8;98,2;95,4
;listopad 2019;641.050;326.616;314.434;12.182;94,7;94,1;95,3
;prosinec 2019;507.862;249.819;258.043;-8.225;99,5;98,7;100,2
;leden 2020;580.906;298.822;282.084;16.739;98,1;98,1;98,1
;únor 2020;563.968;291.814;272.154;19.660;96,8;97,6;96,0
;březen 2020;562.383;281.084;281.299;-216;87,9;85,7;90,1
;duben 2020;398.574;187.236;211.338;-24.102;64,9;59,5;70,7
;květen 2020;455.752;227.628;228.124;-496;71,5;68,8;74,4
;červen 2020;557.841;295.865;261.976;33.890;94,8;97,8;91,7
;červenec 2020;551.100;282.525;268.575;13.950;94,3;96,9;91,6
;srpen 2020;499.979;253.717;246.262;7.455;91,9;91,7;92,1
;září 2020;619.766;326.824;292.942;33.882;97,7;99,9;95,4
;říjen 2020;672.168;351.605;320.563;31.042;100,0;103,2;96,6
;listopad 2020;661.482;346.767;314.715;32.052;103,2;106,2;100,1
;prosinec 2020;557.604;286.695;270.909;15.786;109,8;114,8;105,0
;leden 2021;564.887;294.651;270.236;24.415;97,2;98,6;95,8
;únor 2021;588.728;304.509;284.219;20.291;104,4;104,4;104,4
;březen 2021;720.029;368.120;351.909;16.211;128,0;131,0;125,1
;duben 2021;667.800;343.554;324.245;19.309;167,5;183,5;153,4
;květen 2021;651.777;327.609;324.167;3.442;143,0;143,9;142,1
;červen 2021;684.777;337.937;346.840;-8.903;122,8;114,2;132,4
;červenec 2021;604.579;297.064;307.515;-10.451;109,7;105,1;114,5
;srpen 2021;578.492;275.371;303.121;-27.750;115,7;108,5;123,1
;září 2021;657.341;320.421;336.920;-16.499;106,1;98,0;115,0
;říjen 2021;669.789;326.469;343.320;-16.852;99,6;92,9;107,1
;listopad 2021;740.884;372.353;368.531;3.822;112,0;107,4;117,1
;prosinec 2021;642.893;313.327;329.567;-16.240;115,3;109,3;121,7
;leden 2022;660.492;334.035;326.457;7.578;116,9;113,4;120,8
;únor 2022;657.268;324.897;332.371;-7.474;111,6;106,7;116,9
;březen 2022;784.327;385.793;398.534;-12.741;108,9;104,8;113,2
;duben 2022;706.415;338.691;367.724;-29.034;105,8;98,6;113,4
;květen 2022;810.843;391.227;419.616;-28.389;124,4;119,4;129,4
;červen 2022;801.966;393.082;408.885;-15.803;117,1;116,3;117,9
;červenec 2022;686.509;332.012;354.497;-22.485;113,6;111,8;115,3
;srpen 2022;739.155;354.948;384.207;-29.259;127,8;128,9;126,8
;září 2022;825.626;406.528;419.098;-12.571;125,6;126,9;124,4
;říjen 2022;804.255;389.235;415.020;-25.785;120,1;119,2;120,9
;listopad 2022;855.138;414.356;440.782;-26.426;115,4;111,3;119,6
;prosinec 2022;687.458;342.515;344.943;-2.428;106,9;109,3;104,7
;leden 2023;738.799;373.344;365.456;7.888;111,9;111,8;111,9
;únor 2023;700.566;357.420;343.146;14.275;106,6;110,0;103,2
;březen 2023;823.258;420.044;403.214;16.831;105,0;108,9;101,2
;duben 2023;683.503;346.124;337.379;8.744;96,8;102,2;91,7
;květen 2023;753.373;381.372;372.002;9.370;92,9;97,5;88,7
;červen 2023;785.710;402.473;383.237;19.236;98,0;102,4;93,7
;červenec 2023;637.983;315.781;322.202;-6.421;92,9;95,1;90,9
;srpen 2023;669.625;331.998;337.627;-5.628;90,6;93,5;87,9
;září 2023;722.918;367.396;355.522;11.874;87,6;90,4;84,8
;říjen 2023;795.405;404.085;391.321;12.764;98,9;103,8;94,3
