month,year,kraj,uchazeciOZamestnaniUoZ,noveHlaseniUchazeci,noveHlasenaAUvolnenaVPM,obsazenaAZrusenaVPM,absolventiSkolAMladistvi
9,2009,LBK,24879,3752,789,806,1533
9,2009,MSK,77907,10243,2060,1929,5352
9,2009,OLK,37395,5888,822,841,2917
9,2009,PAK,24060,4235,825,994,2242
9,2009,PHA,27979,6007,2972,3818,1436
9,2009,PLK,25526,4432,848,1271,1754
9,2009,STC,44842,8626,1577,1676,3424
9,2009,ULK,57451,7807,927,994,4033
9,2009,VYS,25870,4190,415,631,2499
9,2009,ZLK,31583,4867,722,796,2506
10,2009,HKK,21471,2975,1004,1049,1952
10,2009,JHC,24110,3803,750,1154,2211
10,2009,JHM,59478,6712,1825,2099,4920
10,2009,KVK,18212,2122,295,366,1288
10,2009,LBK,24866,2876,644,818,1646
10,2009,MSK,76877,7593,2220,2335,5097
10,2009,OLK,37293,4072,724,673,2869
10,2009,PAK,23965,3018,847,961,2157
10,2009,PHA,28183,4998,2936,3784,1685
10,2009,PLK,25236,3279,931,1187,1713
10,2009,STC,45312,6719,1584,1858,3598
10,2009,ULK,56847,5595,805,949,3947
10,2009,VYS,25523,2699,441,655,2433
10,2009,ZLK,31387,3102,592,751,2439
11,2009,HKK,21809,3293,813,853,1824
11,2009,JHC,25351,4248,650,670,2079
11,2009,JHM,61288,7678,1869,2143,4735
11,2009,KVK,18351,1981,322,387,1200
11,2009,LBK,25225,2896,653,694,1595
11,2009,MSK,77443,8438,1347,1848,4754
11,2009,OLK,38275,4662,744,699,2769
11,2009,PAK,24649,3304,806,835,2063
11,2009,PHA,28973,5088,3067,4015,1665
11,2009,PLK,25514,3320,827,1197,1588
11,2009,STC,46294,6692,1626,2027,3405
11,2009,ULK,57503,6088,869,1055,3740
11,2009,VYS,26318,3491,425,414,2381
11,2009,ZLK,31916,3457,680,740,2322
12,2009,HKK,23373,3815,612,701,1769
12,2009,JHC,27530,4800,561,584,2084
12,2009,JHM,65944,8933,1289,1736,4730
12,2009,KVK,19337,2399,261,326,1211
12,2009,LBK,26273,3062,534,568,1560
12,2009,MSK,80581,8931,1138,1040,4699
12,2009,OLK,41092,5931,350,637,2768
12,2009,PAK,26817,4273,413,490,2011
12,2009,PHA,29865,4319,2463,2774,1601
12,2009,PLK,26802,3736,510,554,1564
12,2009,STC,49144,7151,1114,1629,3270
12,2009,ULK,59976,6437,556,686,3657
12,2009,VYS,28566,4299,293,313,2351
12,2009,ZLK,33836,4264,380,433,2337
1,2010,HKK,25216,4720,1067,931,1712
1,2010,JHC,30035,5931,1007,1010,2032
1,2010,JHM,71044,10721,2019,1738,4713
1,2010,KVK,20479,2899,356,387,1195
1,2010,LBK,27219,3824,580,746,1529
1,2010,MSK,84918,11134,1990,2049,4731
1,2010,OLK,44166,6665,815,641,2733
1,2010,PAK,29208,4838,635,751,1973
1,2010,PHA,31137,5664,2924,2443,1500
1,2010,PLK,28580,4896,778,1052,1532
1,2010,STC,52428,8894,1548,1382,3217
1,2010,ULK,62809,8090,803,843,3722
1,2010,VYS,30876,4807,512,445,2335
1,2010,ZLK,36111,4993,796,782,2309
2,2010,HKK,25672,2880,840,797,1692
2,2010,JHC,30884,3732,857,799,2095
2,2010,JHM,71884,6483,2049,2216,4782
2,2010,KVK,20697,2018,500,374,1182
2,2010,LBK,27278,2662,669,697,1534
2,2010,MSK,86152,7688,1738,1582,4883
2,2010,OLK,44863,3790,896,740,2759
2,2010,PAK,29597,2904,783,1021,1946
2,2010,PHA,31961,4907,3941,3984,1488
2,2010,PLK,28869,3065,806,911,1513
2,2010,STC,53749,6473,2048,1866,3241
2,2010,ULK,63792,5503,1034,775,3712
2,2010,VYS,31194,2691,513,447,2335
2,2010,ZLK,36543,3148,685,587,2322
3,2010,HKK,25092,2780,1221,1090,1663
3,2010,JHC,29695,3306,1085,991,2097
3,2010,JHM,70239,6251,2406,2299,4634
3,2010,KVK,20358,1959,468,479,1152
3,2010,LBK,27185,2793,873,775,1571
3,2010,MSK,85112,7515,2977,2452,4824
3,2010,OLK,43263,3489,1797,1111,2657
3,2010,PAK,28793,2649,1119,834,1896
3,2010,PHA,32562,5108,4123,4763,1505
3,2010,PLK,28377,3220,1044,973,1498
3,2010,STC,53319,6387,1793,1997,3210
3,2010,ULK,63052,5734,1161,1289,3621
3,2010,VYS,30096,2588,570,629,2346
3,2010,ZLK,35681,2946,835,773,2218
4,2010,HKK,23366,2769,1210,1040,1525
4,2010,JHC,26923,3246,1194,996,1962
4,2010,JHM,65713,5807,2162,2225,4355
4,2010,KVK,19421,1733,514,437,1089
4,2010,LBK,26354,2643,952,866,1496
4,2010,MSK,80989,7295,2342,2268,4630
4,2010,OLK,39587,3281,1193,1394,2451
4,2010,PAK,26207,2451,1753,1034,1727
4,2010,PHA,32755,4880,2367,4088,1463
4,2010,PLK,26616,2921,933,844,1388
4,2010,STC,50706,5779,1546,1362,2975
4,2010,ULK,60966,5326,1080,1067,3439
4,2010,VYS,27030,2324,509,484,2207
4,2010,ZLK,33495,2851,809,683,2098
5,2010,HKK,21736,2383,1120,1196,1317
5,2010,JHC,24903,2784,1225,1107,1654
5,2010,JHM,62340,5086,1884,2207,3717
5,2010,KVK,18646,1618,574,570,1012
5,2010,LBK,25225,2235,858,584,1359
5,2010,MSK,77753,6394,2064,2092,3965
5,2010,OLK,37662,3430,1201,1377,2045
5,2010,PAK,24183,2264,1227,1029,1437
5,2010,PHA,32139,4030,2818,2787,1315
5,2010,PLK,25518,2633,982,858,1195
5,2010,STC,48886,5515,1521,1464,2555
5,2010,ULK,59150,5054,1021,974,3033
5,2010,VYS,24979,2091,560,520,1814
